,grace_min,grace_mean,grace_max
2010-07-31,-22.901144724980554,-10.379937268179113,3.7619747348706376
2010-08-31,-33.45179212742798,-23.68253652811491,-11.48397072678015
2010-09-30,-38.80477017626707,-30.117595061200106,-21.00536885957132
2010-10-31,-35.021644461968336,-25.6159814481207,-16.9247325431885
2010-11-30,-38.1363225801402,-22.88959288359571,-6.691741482493599
2010-12-31,-22.752687280123574,-0.3099846276121374,20.48384002259013
2011-01-31,8.171881668122051,36.84694226082521,64.64451498748032
2011-02-28,16.315869240119202,42.311683841121116,69.77937092672475
2011-03-31,1.5567825168919427,24.68901341329261,45.6607306659789
2011-04-30,35.011152660109694,51.20033412710175,65.87451868987813
2011-05-31,39.63001921519407,65.21695297917107,90.48870966224598
2011-06-30,27.25434086985658,55.75044881669738,88.435106295269
2011-07-31,7.793772144069797,30.580501142887595,58.58297863562863
2011-08-31,-12.306432382864067,-1.8317987376206422,11.945120672749177
2011-09-30,-15.38559177256193,-6.560683201331118,3.469298394037591
2011-10-31,-25.3714377228389,-16.850617707125664,-8.053911010546193
2011-11-30,-50.29156011112704,-35.93174705871339,-20.676281485535952
2011-12-31,-60.752580205142465,-44.00999159370091,-28.531075659336437
2012-01-31,-36.173346019917375,-24.51858387295121,-11.52878167373167
2012-02-29,-24.486510577610364,-11.312270605778266,0.6034739582299582
2012-03-31,-10.985920642418517,3.1320712338463426,17.883668822759226
2012-04-30,-1.6052842714231197,11.680124041746186,24.671610309146157
2012-05-31,-4.070652727514425,7.657981389704724,19.601477984967637
2012-06-30,-19.705126809428744,-9.657406194647452,2.4468914474858785
2012-07-31,-22.700859387944696,-13.69446317007561,-2.2632514863649646
2012-08-31,-27.434490663711962,-18.477438352079954,-8.149496593968653
2012-09-30,-47.78311223197617,-31.040137056489844,-13.486801803272488
2012-10-31,-79.45639713665713,-49.06347041496244,-19.138744711138536
2012-11-30,-70.56516684166513,-49.29689645017804,-29.78116449670878
2012-12-31,-55.74356886331983,-29.321609851379087,-11.340109063936614
2013-01-31,-22.623366425043553,-2.043475191090698,14.695828950364369
2013-02-28,-19.389917183308995,4.35939764930869,29.847559888302808
2013-03-31,-32.7057289892105,-9.145796613837682,15.347421633616573
2013-04-30,-34.51403955979359,-16.086881294227563,3.536239919889317
2013-05-31,-25.795817865947956,-15.35321113755385,-3.1983034458841466
2013-06-30,-36.81370261252724,-25.700105342558395,-13.38225386386041
2013-07-31,-45.71034425461191,-33.58222155816098,-21.693173237938886
2013-08-31,-47.709204145493864,-37.60558124165283,-27.374385984080487
2013-09-30,-56.83493167222939,-48.43429820671106,-40.1961528108222
2013-10-31,-69.95388373994632,-61.48161318945597,-53.06321617792476
2013-11-30,-53.410893019217966,-45.49574220098,-37.321976719764486
2013-12-31,-61.66693394546357,-50.36363562407002,-38.29545007214031
2014-01-31,-86.07717187757521,-67.79278396176254,-49.3173824395443
2014-02-28,-111.57637951606212,-86.49379180456421,-61.97476362433924
2014-03-31,-95.58884635740712,-74.44348911661831,-54.927158812778686
2014-04-30,-46.20282534771836,-35.32680620273039,-23.940248310436928
2014-05-31,-41.73965246618795,-30.33426903999203,-19.344833843090143
2014-06-30,-50.909925090312015,-39.77284375257864,-27.880128605516482
2014-07-31,-61.66264915038861,-52.95409275679838,-42.77181909180036
2014-08-31,-71.67411124970367,-63.965301055645426,-55.914563849743075
2014-09-30,-80.61526063985991,-73.40630511440516,-66.42927568180727
2014-10-31,-79.95453532968308,-72.34379496044355,-63.892945294642956
2014-11-30,-90.2514511171778,-75.0880965409101,-60.035861624061056
2014-12-31,-108.3691381247877,-80.94890447282636,-56.06891406505629
2015-01-31,-89.94844853623164,-65.99826440956932,-44.45048803015642
2015-02-28,-48.203593712859366,-38.46238625849327,-29.786071105034313
2015-03-31,-47.71260749241344,-40.10905354959206,-32.9141300608231
2015-04-30,-57.43135125390931,-48.81537662721071,-39.410820776387176
2015-05-31,-64.86655199829613,-55.61012585259144,-44.64231563661689
2015-06-30,-67.65654242321537,-58.91331877129531,-47.2589875839066
2015-07-31,-68.27491806851592,-60.47886610017264,-49.980472304861735
2015-08-31,-83.94901139501403,-76.30795918322053,-66.99205982666335
2015-09-30,-90.91372539401456,-82.198242334758,-72.67315867842271
2015-10-31,-85.00255005377622,-74.06965063762476,-62.258876296875776
2015-11-30,-78.69939373837414,-66.12942928002228,-52.94062234600463
2015-12-31,-85.07630133133274,-72.45844121659857,-59.38525650717092
2016-01-31,-103.946695827827,-75.70607103211897,-55.7812371501944
2016-02-29,-22.848350716491975,-3.268952565222794,8.775130975162934
2016-03-31,-7.159508171790964,13.344705900965765,27.821415152670305
2016-04-30,-62.545629209849736,-39.16946579736657,-14.71357839693799
2016-05-31,-82.4070277273653,-61.46200029474747,-38.268462735066606
2016-06-30,-57.22084836836446,-44.26717775892801,-26.961410499392183
2016-07-31,-52.813097858167666,-39.680185246090545,-22.297592275496815
2016-08-31,-59.48925355686996,-45.339708857865276,-27.59229803167122
2016-09-30,-68.07021631983176,-49.17230714692793,-30.317530606655325
2016-10-31,-73.30680679068868,-50.36848784573446,-21.82888448029909
2016-11-30,-68.31043460713188,-42.800200214081684,-16.22137529110725
2016-12-31,-58.8045105279388,-27.761021065150462,-1.4922274569825742
2017-01-31,-70.83776980036347,-22.51672102391566,20.370754827831853
